OBJECTID,ZIP,Colorectal,Lung_Bronc,Breast_Can,Prostate_C,Urinary_Sy,All_Cancer,Shape__Area,Shape__Length
1,60002,218.0621271,419.6667352,399.0948365,259.2059247,259.2059247,2703.147501,1149062138,215525.1552
2,60010,258.9157061,335.4646974,504.3227666,499.8198847,227.3955331,3248.829251,802735362.8,178637.1096
3,60015,153.4358675,230.1538012,478.5737771,442.0414277,222.8473313,2922.587952,367457579.6,111400.8906
4,60020,292.7971891,507.5151279,214.7179387,302.5570955,370.8764396,3084.130392,166617676.2,92363.08463
5,60030,221.535432,284.4405547,404.7807893,322.7306293,210.5954107,2581.845035,845517890.6,247258.2247
6,60031,163.5021097,221.5189873,414.0295359,303.2700422,160.8649789,2217.827004,527117600.5,163995.1816
7,60035,241.3111238,475.9191608,553.0046586,482.6222475,392.1305761,3760.431679,345792947.4,115796.7238
8,60040,55.55555556,240.7407407,277.7777778,185.1851852,185.1851852,1796.296296,17809434.34,25907.37247
9,60042,140.2524544,315.5680224,397.3819542,187.0032726,187.0032726,2267.41468,45177572.98,45385.39523
10,60044,206.5475576,237.5296912,557.6784055,413.0951152,165.2380461,3149.850253,212777737.9,92539.70873
11,60045,258.3349581,316.825892,609.2805615,497.1729382,282.7061805,3611.815169,621475385.1,161457.2453
12,60046,177.8593763,258.1829657,398.749247,275.3951634,197.9402737,2340.858889,730424359.5,207743.9126
13,60047,198.9531276,184.7421899,362.378911,305.5351602,172.8997418,2261.907582,919381804.8,176981.8594
14,60048,276.6015572,245.8680508,450.7580932,331.2389018,211.7197104,2697.718891,819008275.9,196071.5737
15,60060,184.4678104,197.6440825,358.394603,231.9023902,184.4678104,2174.084908,617591322.9,180171.9624
16,60061,214.1982864,221.8482252,367.1970624,237.1481028,225.6731946,2409.730722,257421150.6,102713.1381
17,60064,188.7029815,270.4742735,239.0237766,245.313876,56.61089445,1830.418921,139901116.5,90452.89559
18,60069,457.7761715,578.2435851,626.4305505,457.7761715,421.6359475,4505.481267,170066928.7,146555.4274
19,60073,103.3295063,188.6173528,211.5794653,145.9734296,126.2916188,1533.541086,519658694.9,209118.9368
20,60083,173.3769987,221.5372761,529.7630514,356.3860528,134.8487767,2205.740705,728237916.6,164753.2176
21,60084,226.8859898,340.3289847,296.2122644,283.6074872,302.5146531,2596.584105,505163484.5,159182.3679
22,60085,133.5920801,182.8102149,203.9037012,202.4974688,113.9048262,1465.294184,391907383.9,137038.9478
23,60087,212.3303253,303.3290362,269.2045196,254.0380678,178.2058088,2092.97035,389880041.8,163122.6118
24,60089,216.4293959,317.4297807,485.7637553,375.1442863,216.4293959,2991.535206,227772422.2,164174.7444
25,60096,303.9073806,376.2662808,405.2098408,376.2662808,202.6049204,2995.658466,141373658.4,62444.47166
26,60099,220.7018318,280.6066147,302.6767979,264.8421982,208.0902986,2317.369234,626264179.8,188925.3902
27,60041,323.5124206,496.8226459,288.8503755,404.3905257,381.2824957,3200.462161,391955019.5,152724.6169
